"Modbus
Address",Object designation,LWZ,LWA,Comments,Min. value,Max. value,Data type,Unit,Write/read (w/r),Suffix
1,ACTUAL ROOM T HC1,x,x,Remote control value ,-20,60,2,°C,r,
2,SET ROOM TEMPERATURE HC1,x,x,,-20,60,2,°C,r,
3,RELATIVE HUMIDITY HC1,x,x,Remote control value ,0,100,2,%,r,
4,ACTUAL ROOM T HC2,x,x,Remote control value ,-20,60,2,°C,r,
5,SET ROOM TEMPERATURE HC2,x,x,,-20,60,2,°C,r,
6,RELATIVE HUMIDITY HC2,x,x,Remote control value ,0,100,2,%,r,
7,OUTSIDE TEMPERATURE,x,x,,-60,80,2,°C,r,
8,ACTUAL VALUE HC1,x,x,,0,90,2,°C,r,
9,SET VALUE HC1,x,x,,0,65,2,°C,r,
10,ACTUAL VALUE HC2,x,x,,0,90,2,°C,r,
11,SET VALUE HC2,x,x,,0,65,2,°C,r,
12,FLOW TEMPERATURE,x,x,,0,90,2,°C,r,
13,RETURN TEMPERATURE,x,x,,0,90,2,°C,r,
14,PRESSURE HTG CIRC,x,,only for  LWZ 304/404/504/Trend,0,6,2,bar,r,
15,FLOW RATE ,x,,only for  LWZ 304/404/504/Trend,,,2,l/min,r,
16,ACTUAL DHW T,x,x,,10,65,2,°C,r,
17,DHW SET TEMPERATURE,x,x,,10,65,2,°C,r,
18,VENTILATION AIR ACTUAL FAN SPEED,x,,,0,100,6,Hz,r,
19,VENTILATION AIR SET FLOW RATE,x,,,0,300,6,m³/h,r,
20,EXTRACT AIR ACTUAL FAN SPEED,x,x,,0,100,6,Hz,r,
21,EXTRACT AIR SET FLOW RATE,x,x,,0,300,6,m³/h,r,
22,EXTRACT AIR HUMIDITY,x,,only for  LWZ 304/404/504/Trend,0,100,6,%,r,
23,EXTRACT AIR TEMP,x,,only for LWZ 504,0,65535,2,°C,r,
24,EXTRACT AIR DEW POINT,x,,only for LWZ 504,0,65535,2,°C,r,
25,DEW POINT TEMP HC1,x,,only for LWZ with cooling capacity,-40,30,2,°C,r,
26,DEW POINT TEMP HC2,x,,only for LWZ with cooling capacity,-40,30,2,°C,r,
27,COLLECTOR TEMPERATURE,x,,only for LWZ with solar capacity,-60,200,2,°C,r,
28,HOT GAS TEMPERATURE,x,x,,0,140,2,°C,r,
29,HIGH PRESSURE,x,x,,0,50,7,bar,r,
30,LOW PRESSURE,x,x,,0,25,7,bar,r,
31,COMPRESSOR STARTS,x,x,,0,65535,6,,r,HI
32,COMPRESSOR SPEED,x,,only for LWZ 504,0,240,2,Hz,r,
33,MIXED WATER AMOUNT,x,,only for LWZ 504,0,65535,6,l,r,
34,COMPRESSOR STARTS,x,x,,0,65535,6,,r,LOW
