Modbus address,Object designation ,WPMsystem,WPM 3,WPM 3i,Comments,Min. value,Max. value,Data type,Unit,Write/ read (w/r),Suffix
2501,OPERATING STATUS,x,x,x,bit-coded,,,6,,r,
2502,POWER OFF,x,x,x,,,,8,,r,
2503,OPERATING STATUS,,x,,bit-coded,,,6,,r,WPM 3
2504,FAULT STATUS,x,x,x,System fault,0,1,6,,r,
2505,BUS STATUS,x,x,x,,-4,0,6,,r,
2506,DEFROST INITIATED,x,x,,defrost initiated,0,1,6,,r,
2507,ACTIVE ERROR,x,x,x,Fault Number,0,65535,6,,r,
2508,MESSAGE NUMBER,x,,,Message number,0,65535,6,,r,
2509,HEATING CIRCUIT PUMP 1,x,,,WPM Status,0,1,6,,r,
2510,HEATING CIRCUIT PUMP 2,x,,,WPM Status,0,1,6,,r,
2511,HEATING CIRCUIT PUMP 3,x,,,WPM Status,0,1,6,,r,
2512,BUFFER CHARGING PUMP 1,x,,,WPM Status,0,1,6,,r,
2513,BUFFER CHARGING PUMP 2,x,,,WPM Status,0,1,6,,r,
2514,DHW CHARGING PUMP,x,,,WPM Status,0,1,6,,r,
2515,SOURCE PUMP,x,,,WPM Status,0,1,6,,r,
2516,FAULT OUTPUT,x,,,WPM Status,0,1,6,,r,
2517,DHW CIRCULATION PUMP,x,,,WPM Status,0,1,6,,r,
2518,WE 2 DHW,x,,,WPM Status,0,1,6,,r,
2519,WE 2 HEATING,x,,,WPM Status,0,1,6,,r,
2520,COOLING MODE,x,,,WPM Status,0,1,6,,r,
2521,MIXER OPEN HC2,x,,,WPM Status,0,1,6,,r,
2522,MIXER CLOSE HC2,x,,,WPM Status,0,1,6,,r,
2523,MIXER OPEN HC3,x,,,WPM Status,0,1,6,,r,
2524,MIXER CLOSE HC3,x,,,WPM Status,0,1,6,,r,
2525,NHZ 1 ,x,,,WPM Status,0,1,6,,r,
2526,NHZ 2,x,,,WPM Status,0,1,6,,r,
2527,NHZ 1 2,x,,,WPM Status,0,1,6,,r,
2528,HEATING CIRCUIT PUMP 4,x,,,WPM Status,0,1,6,,r,
2529,HEATING CIRCUIT PUMP 5,x,,,WPM Status,0,1,6,,r,
2530,BUFFER CHARGING PUMP 3,x,,,WPM Status,0,1,6,,r,
2531,BUFFER CHARGING PUMP 4,x,,,WPM Status,0,1,6,,r,
2532,BUFFER CHARGING PUMP 5,x,,,WPM Status,0,1,6,,r,
2533,BUFFER CHARGING PUMP 6,x,,,WPM Status,0,1,6,,r,
2534,DIFF CONTROLLER PUMP 1,x,,,WPM Status,0,1,6,,r,
2535,DIFF CONTROLLER PUMP 2,x,,,WPM Status,0,1,6,,r,
2536,POOL PUMP PRIMARY,x,,,WPM Status,0,1,6,,r,
2537,POOL PUMP SECONDARY,x,,,WPM Status,0,1,6,,r,
2538,MIXER OPEN HC4,x,,,WPM Status,0,1,6,,r,
2539,MIXER CLOSE HC4,x,,,WPM Status,0,1,6,,r,
2540,MIXER OPEN HC5,x,,,WPM Status,0,1,6,,r,
2541,MIXER CLOSE HC5,x,,,WPM Status,0,1,6,,r,
2542,COMPRESSOR 1,x,,,WPM Status,0,1,6,,r,
2543,COMPRESSOR 2,x,,,WPM Status,0,1,6,,r,
2544,COMPRESSOR 3,x,,,WPM Status,0,1,6,,r,
2545,COMPRESSOR 4,x,,,WPM Status,0,1,6,,r,
2546,COMPRESSOR 5,x,,,WPM Status,0,1,6,,r,
2547,COMPRESSOR 6,x,,,WPM Status,0,1,6,,r,
